#,player,position,team,avg_rank,median_rank,rank_sd,n_sources
91,Kenneth Gainwell,RB,TBB,94.57142857142857,98,14.77311402376573,7
92,J.K. Dobbins,RB,DEN,95.28571428571429,96,8.171628369185767,7
93,Wan'Dale Robinson,WR,TEN,95.28571428571429,89,16.24556454380514,7
94,Jordyn Tyson,WR,NOS,95.85714285714286,89,23.067779454893177,7
95,Travis Kelce,TE,KCC,95.85714285714286,98,13.901989286517558,7
96,RJ Harvey,RB,DEN,96,100,13.277263057035297,7
97,Jonathon Brooks,RB,CAR,97,101,14.6482568441241,7
98,Jordan Addison,WR,MIN,98,94,7.111359122659224,7
99,Jaxson Dart,QB,NYG,99.28571428571429,94,19.432772655007945,7
100,Bo Nix,QB,DEN,100,96,17.76835067512699,7
101,Quentin Johnston,WR,LAC,100.71428571428571,101,12.925216612877167,7
102,Brock Purdy,QB,SFO,102.42857142857143,94,23.43292642450632,7
103,Jayden Reed,WR,GBP,104,110,16.115653437397,7
104,Aaron Jones Sr.,RB,MIN,104.85714285714286,107,14.055284429998679,7
105,George Kittle,TE,SFO,105.28571428571429,107,15.285046714394579,7
106,Kyle Monangai,RB,CHI,106.57142857142857,108,5.627918743883488,7
107,Patrick Mahomes II,QB,KCC,106.85714285714286,107,15.394141477741936,7
108,Jacory Croskey-Merritt,RB,WAS,107.57142857142857,111,11.133695867656408,7
109,Rachaad White,RB,WAS,109,105,9.365590516047865,7
110,Matthew Stafford,QB,LAR,109.28571428571429,111,13.002354574837433,7
111,Matthew Golden,WR,GBP,109.28571428571429,113,19.351738834491524,7
112,Stefon Diggs,WR,WAS,109.5,108,11.828637565952668,6
113,Khalil Shakir,WR,BUF,111.42857142857143,115,21.61254359894565,7
114,Blake Corum,RB,LAR,111.85714285714286,113,6.770283206327306,7
115,Makai Lemon,WR,PHI,112,115,14.121918121437025,7
116,Xavier Worthy,WR,KCC,113,114,8.502100580780862,7
117,Mark Andrews,TE,BAL,116,126,22.859821271642275,7
118,Romeo Doubs,WR,NEP,116.57142857142857,119,12.408029000347694,7
119,Jordan Mason,RB,MIN,116.71428571428571,119,14.129141978946368,7
120,Jared Goff,QB,DET,117.85714285714286,115,14.106012612951071,7
121,Jayden Higgins,WR,HOU,118.57142857142857,128,17.807359175810614,7
122,Zach Charbonnet,RB,SEA,119.14285714285714,123,19.01449500797124,7
123,Dallas Goedert,TE,PHI,120.57142857142857,119,12.431034238746909,7
124,Kyler Murray,QB,MIN,122.42857142857143,133,23.92164078735369,7
125,Deebo Samuel Sr.,WR,SFO,123.85714285714286,124,10.789261479142404,7
126,Woody Marks,RB,HOU,125,127,9.957050624700928,7
127,Jalen Coker,WR,CAR,126.85714285714286,126,22.881237300639214,7
128,Isaiah Likely,TE,NYG,127.57142857142857,117,29.12464416879945,7
129,Jake Ferguson,TE,DAL,129,133,18.935982376719423,7
130,Tyrone Tracy Jr.,RB,NYG,131,130,12.094863136295272,7
131,KC Concepcion,WR,CLE,134,125,28.535691936340257,7
132,Dalton Kincaid,TE,BUF,135.14285714285714,135,15.084794344244912,7
133,Tyjae Spears,RB,TEN,136.57142857142858,137,15.81009752257934,7
134,Tyler Shough,QB,NOS,136.85714285714286,136,20.328927815368154,7
135,Baker Mayfield,QB,TBB,141.28571428571428,149,19.94789130076006,7
136,Chris Rodriguez Jr.,RB,JAC,141.71428571428572,139,14.229890931358797,7
137,Rashid Shaheed,WR,SEA,145.57142857142858,143,12.793493244136064,7
138,Jalen McMillan,WR,TBB,146.71428571428572,160,23.644475559626944,7
139,Jerry Jeudy,WR,CLE,147.42857142857142,145,42.63753257018362,7
140,Isiah Pacheco,RB,DET,147.57142857142858,141,16.01657304934167,7
141,Tyler Allgeier,RB,ARI,148.42857142857142,144,9.693254544964214,7
142,Tre Tucker,WR,LVR,148.71428571428572,140,30.259422550029345,7
143,Alvin Kamara,RB,NOS,148.85714285714286,141,28.331852702409357,7
144,Hunter Henry,TE,NEP,150.71428571428572,148,22.60034314350297,7
145,Dylan Sampson,RB,CLE,153.42857142857142,145,23.243168845043133,7
146,Jordan Love,QB,GBP,154,164,30.664078565737373,7
147,Juwan Johnson,TE,NOS,157.71428571428572,146,23.31593131447304,7
148,Malik Washington,WR,MIA,158,157.5,46.2240918425302,6
149,Denzel Boston,WR,CLE,159.14285714285714,152,28.129438425294754,7
150,Brenton Strange,TE,JAC,162,160,15.023790657297036,7
151,Brian Robinson Jr.,RB,ATL,163.28571428571428,156,28.32320747430723,7
152,T.J. Hockenson,TE,MIN,163.83333333333334,163,31.007615552025637,6
153,Jauan Jennings,WR,MIN,164.28571428571428,164,31.453885908986035,7
154,Houston Texans,DST,,165.33333333333334,166.5,16.33673433979046,6
155,Rashod Bateman,WR,BAL,165.6,161,26.650328328183875,5
156,Jalen Nailor,WR,LVR,166.42857142857142,161,31.531649147470603,7
157,Kenyon Sadiq,TE,NYJ,167,159,33.087762088119526,5
158,Travis Hunter,WR,JAC,167.66666666666666,170.5,23.033791601808755,6
159,Ryan Flournoy,WR,DAL,167.83333333333334,169,24.781825777954474,6
160,Adonai Mitchell,WR,NYJ,168.14285714285714,159,19.61361459677997,7
161,Seattle Seahawks,DST,,168.5,169,12.763881332363862,6
162,Tre' Harris,WR,LAC,170.66666666666666,171.5,19.22382780706162,6
163,Tank Bigsby,RB,PHI,170.71428571428572,158,24.188038872339277,7
164,Malik Willis,QB,MIA,170.85714285714286,147,55.24084558013357,7
165,Dalton Schultz,TE,HOU,174,167,30.491216533852594,7
166,Keaton Mitchell,RB,LAC,175.71428571428572,150,52.09253932245216,7
167,Brandon Aubrey,K,,177.83333333333334,183,32.302820654274484,6
168,Denver Broncos,DST,,178,168,25.508168626278653,6
169,C.J. Stroud,QB,HOU,178.33333333333334,192.5,34.38345855527367,6
170,Chigoziem Okonkwo,TE,WAS,178.42857142857142,176,23.67552770784419,7
171,Kayshon Boutte,WR,NEP,178.5,184,44.43628397304767,6
172,Daniel Jones,QB,IND,179.66666666666666,152.5,62.1735921075464,6
173,Omar Cooper Jr.,WR,NYJ,181.57142857142858,163,34.11265849194042,7
174,Sam Darnold,QB,SEA,182.16666666666666,183,37.569565105577446,6
175,Tank Dell,WR,HOU,183,195,26.404545063303022,5
176,Calvin Ridley,WR,TEN,183.28571428571428,193,29.37790367759068,7
177,Ka'imi Fairbairn,K,,184.16666666666666,189.5,22.10140769775134,6
178,Cooper Kupp,WR,SEA,187.5,198,41.2583324917525,6
179,Jonah Coleman,RB,DEN,187.66666666666666,192,28.88290536324596,6
180,Dontayvion Wicks,WR,PHI,189,188,7.2387844283415435,5
181,Mike Washington Jr.,RB,LVR,189.85714285714286,191,26.324505538314195,7
182,Bryce Young,QB,CAR,190.4,191,32.28374203836972,5
183,Pat Freiermuth,TE,PIT,190.6,187,25.593749236874224,5
184,Justice Hill,RB,BAL,190.83333333333334,186,31.152403153243608,6
185,Ray Davis,RB,BUF,192,177,32.63214891571106,7
186,Kimani Vidal,RB,LAC,193.85714285714286,188,21.944270787797056,7
187,Jake Tonges,TE,SFO,194,194,0,1
188,Braelon Allen,RB,NYJ,195.42857142857142,173,42.71118001131769,7
189,Troy Franklin,WR,DEN,196.66666666666666,200,44.96912521077347,3
190,Antonio Williams,WR,WAS,198,189,45.807568515839534,6
191,New England Patriots,DST,,198.16666666666666,183.5,30.36125088917707,6
192,Jalen Tolbert,WR,MIA,198.25,205,27.806249297594956,4
193,Los Angeles Rams,DST,,199.5,187.5,34.91298707739953,6
194,Pittsburgh Steelers,DST,,200.16666666666666,175.5,51.2621259367533,6
195,Jason Myers,K,,200.5,204,19.989580619245952,6
196,Isaac TeSlaa,WR,DET,200.8,201,17.904189453868053,5
197,Cameron Dicker,K,,201.5,186,65.17348642917098,6
198,Pat Bryant,WR,DEN,201.83333333333334,194,27.631001107853876,6
199,AJ Barner,TE,SEA,202.83333333333334,196.5,15.507166801908795,6
200,Cameron Ward,QB,TEN,205.8,199,64.1198877104444,5
201,Michael Carter,RB,TEN,207,207,0,1
202,Greg Dulcich,TE,MIA,208.5,213.5,45.360592294780865,6
203,Xavier Legette,WR,CAR,209.4,210,31.340708351918277,5
204,Los Angeles Chargers,DST,,210,196,40.67759416025813,6
205,Jacoby Brissett,QB,ARI,210.16666666666666,200,35.26290150033349,6
206,Cam Little,K,,211.16666666666666,191.5,49.85785349927888,6
207,Philadelphia Eagles,DST,,211.2,182,53.13153489218997,5
208,Oronde Gadsden II,TE,LAC,211.66666666666666,210,36.04472530374205,6
209,Ty Johnson,RB,BUF,211.66666666666666,208.5,33.63364717395695,6
210,Darius Slayton,WR,NYG,213,252,65.56828501646204,5
211,James Conner,RB,ARI,214,197,45.489925624618614,6
212,Aaron Rodgers,QB,PIT,214.4,219,40.361367667610075,5
213,Tyquan Thornton,WR,KCC,214.6,198,43.6971394944795,5
214,De'Zhaun Stribling,WR,SFO,217.71428571428572,164,146.8076625926534,7
215,Baltimore Ravens,DST,,217.75,186,71.31050062929022,4
216,Minnesota Vikings,DST,,218.66666666666666,190.5,53.742182894093744,6
217,Jake Bates,K,,221.16666666666666,205.5,55.076966349121136,6
218,Keon Coleman,WR,BUF,221.2,221,24.506325713986584,5
219,Samaje Perine,RB,CIN,221.33333333333334,219,30.38457210859192,6
220,Jaydon Blue,RB,DAL,223,204,66.51745206012801,7
221,Emmett Johnson,RB,KCC,224,218.5,37.24692381034081,6
222,Colby Parkinson,TE,LAR,225.66666666666666,257,56.00793594562193,3
223,Tyler Loop,K,,226.83333333333334,198.5,84.97728454645329,6
224,Darnell Mooney,WR,NYG,228.4,206,40.77057762651886,5
225,Cleveland Browns,DST,,228.75,220.5,45.26242923220096,4
226,Andy Borregales,K,,229,229,0,1
227,Tyreek Hill,WR,FA,229,229,0,1
228,Gunnar Helm,TE,TEN,229.75,227.5,16.82817577754642,4
229,Jacksonville Jaguars,DST,,229.83333333333334,205,57.00998937808083,6
230,Jaylin Noel,WR,HOU,230.4,209,44.33328320799171,5
231,Detroit Lions,DST,,231.2,213,62.48007682453664,5
232,Kareem Hunt,RB,FA,232,232,0,1
233,Sean Tucker,RB,TBB,232.33333333333334,225,39.49120858565303,6
234,Elic Ayomanor,WR,TEN,232.33333333333334,243,51.181593913784624,3
235,Andrei Iosivas,WR,CIN,232.66666666666666,206,43.49201714746691,3
236,Jordan James,RB,SFO,232.85714285714286,247,28.07860686119071,7
237,Chase McLaughlin,K,,234.16666666666666,222.5,44.853155469326296,6
238,Will Reichard,K,,234.66666666666666,226.5,40.42963709403728,6
239,Jaylen Wright,RB,MIA,235,231,17.540429489230494,6
240,Buffalo Bills,DST,,235.4,216,56.20533782480095,5
241,KaVontae Turpin,WR,DAL,236.5,244.5,32.48461174156157,4
242,MarShawn Lloyd,RB,GBP,237,183,136.31056976101092,7
243,Harrison Mevis,K,,238,208,72.37402849088892,4
244,Chimere Dike,WR,TEN,238.33333333333334,237,75.94003482280534,3
245,Cade Otton,TE,TBB,239.25,233.5,31.641547054466223,4
246,Jack Bech,WR,LVR,239.6,244,37.04375790872195,5
247,DeMario Douglas,WR,NEP,240,246,31.312936623702353,4
248,Malachi Fields,WR,NYG,240.5,240.5,20.5,2
249,Darren Waller,TE,FA,242,259,45.306364527146364,3
250,Brandon Aiyuk,WR,SFO,242,230.5,24.50510150968569,4
251,Nick Chubb,RB,FA,243,243,0,1
252,Eddy Pineiro,K,,243.5,197,119.42187125201704,6
253,Marvin Mims Jr.,WR,DEN,243.5,264,40.283371259118816,4
254,Kendrick Bourne,WR,ARI,243.5,243.5,26.5,2
255,Germie Bernard,WR,PIT,247,202.5,134.3354011420668,6
256,Emanuel Wilson,RB,SEA,248.2,249,26.07220742476555,5
257,Luke McCaffrey,WR,WAS,248.5,248.5,2.5,2
258,Wil Lutz,K,,248.6,210,73.1808718177093,5
259,Devaughn Vele,WR,NOS,250,250.5,27.667670664513846,4
260,Kalif Raymond,WR,CHI,250.5,250.5,5.5,2
261,Kaelon Black,RB,SFO,253,236,68.84281613453457,6
262,Kevin Coleman Jr.,WR,MIA,253,253,0,1
263,Harrison Butker,K,,253.4,220,90.68539022356357,5
264,Roman Wilson,WR,PIT,253.5,253.5,12.5,2
265,Jahan Dotson,WR,ATL,254,271,33.65511352924941,3
266,Joshua Palmer,WR,BUF,256.5,256.5,12.5,2
267,Christian Kirk,WR,SFO,256.6666666666667,256,26.948510575210317,3
268,Isaiah Davis,RB,NYJ,257.8,249,37.615954062073186,5
269,Mack Hollins,WR,NEP,258.6666666666667,300,70.81588020274046,3
270,Kansas City Chiefs,DST,,259.25,209.5,104.5236217321233,4
271,Keenan Allen,WR,FA,259.3333333333333,292,46.906526435265086,3
272,Najee Harris,RB,FA,259.5,259.5,32.5,2
273,Cairo Santos,K,,260.75,204.5,124.19012641913204,4
274,Marquise Brown,WR,PHI,261,261,0,1
275,David Njoku,TE,LAC,261.25,266,29.200813344836817,4
276,Devin Singletary,RB,NYG,261.5,285.5,48.8082984747471,4
277,Chris Boswell,K,,263.4,237,88.85853926325821,5
278,Evan Engram,TE,DEN,265,264.5,18.12456896039186,4
279,Sterling Shepard,WR,TBB,267,267,0,1
280,Mike Gesicki,TE,CIN,268,278,30.53686296920494,4
281,Caleb Douglas,WR,MIA,268.4,205,159.59899749058576,5
282,George Holani,RB,SEA,268.57142857142856,239,135.8369370583265,7
283,Geno Smith,QB,NYJ,268.8,255,85.61401754385786,5
284,Kaytron Allen,RB,WAS,269.3333333333333,223,105.22621135228407,6
285,Malik Davis,RB,DAL,269.75,274,22.219079638904937,4
286,Demarcus Robinson,WR,SFO,271,271,0,1
287,Xavier Hutchinson,WR,HOU,274.5,274.5,69.5,2
288,Theo Johnson,TE,NYG,275.6666666666667,278,17.632041540584257,3
289,Kyle Juszczyk,RB,SFO,276,276,2,2
290,Green Bay Packers,DST,,276.25,220.5,134.88027098134108,4
291,Ollie Gordon II,RB,MIA,279.75,249.5,67.06852838701622,4
292,Tory Horton,WR,SEA,279.75,268.5,30.13614938906429,4
293,Christopher Brooks,RB,GBP,280.2,249,57.665934484754516,5
294,Emari Demercado,RB,KCC,280.8,276,62.489679147840086,5
295,Brashard Smith,RB,KCC,281,270,51.28352561983234,4
296,Chicago Bears,DST,,281.25,240.5,110.53364872291152,4
297,Ashton Dulin,WR,IND,282.3333333333333,295,29.169999809545576,3
298,Devontez Walker,WR,BAL,282.5,282.5,25.5,2
299,Trey Benson,RB,ARI,284.3333333333333,275,55.10192575783738,3
300,New Orleans Saints,DST,,285.25,274,76.80616837207803,4
301,Ted Hurst,WR,TBB,287.5,255.5,68.60940168810686,4
302,Tez Johnson,WR,TBB,287.5,287.5,10.5,2
303,Zachariah Branch,WR,ATL,292,225,172.1499346500021,5
304,LeQuint Allen,RB,JAC,293,241,113.33313725473234,5
305,Olamide Zaccheaus,WR,ATL,293,293,16,2
306,Demond Claiborne,RB,MIN,294.3333333333333,249.5,120.6657458528402,6
307,Tutu Atwell,WR,MIA,294.5,294.5,58.5,2
308,Tommy Tremble,TE,CAR,295,295,0,1
309,Dawson Knox,TE,BUF,300.5,300.5,21.5,2
310,Ja'Kobi Lane,WR,BAL,301.2,242,170.48213982702117,5
311,Mason Taylor,TE,NYJ,304.6666666666667,303,26.562295750848712,3
312,Savion Williams,WR,GBP,307.5,307.5,54.5,2
313,DJ Giddens,RB,IND,309,262,87.89766777338293,4
314,David Moore,WR,CAR,310,310,0,1
315,Isaiah Williams,WR,NYJ,318,318,0,1
316,Calvin Austin III,WR,NYG,318,318,57,2
317,Kendre Miller,RB,NOS,318.4,298,62.68843593518664,5
318,Hollywood Brown,WR,,322,322,27,2
319,Jeremy McNichols,RB,WAS,324,324,0,1
320,Greg Dortch,WR,DET,325,325,0,1
321,Kyle Williams,WR,NEP,325.5,325.5,29.5,2
322,Barion Brown,WR,NOS,327,327,0,1
323,Nicholas Singleton,RB,TEN,328,219,232.37613187818295,6
324,Isaiah Bond,WR,CLE,328,328,20,2
325,Cedric Tillman,WR,CLE,332,332,19,2
326,Tampa Bay Buccaneers,DST,,332.6666666666667,235,146.6886347184251,3
327,Devin Neal,RB,NOS,335,335,44,2
328,Jordan Whittington,WR,LAR,338.5,338.5,44.5,2
329,Jake Elliott,K,,341,288,112.18140071628035,3
330,Cole Kmet,TE,CHI,341,341,27,2
331,Xavier Smith,WR,LAR,342,342,0,1
332,New York Giants,DST,,343.5,343.5,130.5,2
333,Malik Benson,WR,LVR,346,346,0,1
334,Stetson Bennett IV,QB,LAR,347,347,0,1
335,Nick Westbrook-Ikhine,WR,IND,347.3333333333333,284,140.42158745086962,3
336,Indianapolis Colts,DST,,351,255,148.6741403203664,3
337,Michael Mayer,TE,LVR,352,331,58.65719620529664,3
338,Tyler Higbee,TE,LAR,354,354,45,2
339,Noah Gray,TE,KCC,355.5,355.5,70.5,2
340,Hunter Luepke,RB,DAL,356.5,356.5,65.5,2
341,Tyrell Shavers,WR,BUF,357,357,0,1
342,Brenen Thompson,WR,LAC,357,357,20,2
343,Jaleel McLaughlin,RB,DEN,361,361,0,1
344,John Metchie,WR,CAR,363.5,363.5,43.5,2
345,Zay Jones,WR,ARI,365,365,0,1
346,Andres Borregales,K,,366,366,164,2
347,Tennessee Titans,DST,,366.5,366.5,118.5,2
348,Terrance Ferguson,TE,LAR,370,231,313.2430366344957,5
349,Raheim Sanders,RB,CLE,371,371,32,2
350,Kevin Austin,WR,NOS,373,373,0,1
351,Will Shipley,RB,PHI,374,307,117.35700518787392,3
352,Chris Bell,WR,MIA,379.75,241,248.64067949553225,4
353,Treylon Burks,WR,WAS,381.5,381.5,77.5,2
354,Dyami Brown,WR,WAS,383.5,383.5,105.5,2
355,Evan McPherson,K,,385.3333333333333,256,205.94713453268105,3
356,Jalen Royals,WR,KCC,386,386,67,2
357,Jawhar Jordan,RB,HOU,387.5,387.5,104.5,2
358,Jimmy Horn,WR,CAR,388,388,67,2
359,Atlanta Falcons,DST,,388.5,388.5,109.5,2
360,Dont'e Thornton,WR,LVR,389,389,73,2
361,Cyrus Allen,WR,KCC,389.6666666666667,315,218.75607928060472,3
362,Van Jefferson,WR,WAS,390,390,0,1
363,Tyler Badie,RB,DEN,390.5,390.5,112.5,2
364,Cincinnati Bengals,DST,,392,392,107,2
365,Nick Folk,K,,404,404,147,2
366,Michael Penix Jr.,QB,ATL,409,291,237.92015467378968,4
367,Isaac Guerendo,RB,SFO,409,409,0,1
368,Blake Grupe,K,,412,412,0,1
369,Kaleb Johnson,RB,PIT,412.6666666666667,340,141.1413790810083,3
370,Adam Randall,RB,BAL,418,283.5,259.52167539533184,4
371,Zavier Scott,RB,MIN,421,421,0,1
372,Trevor Etienne,RB,CAR,431.6666666666667,302,199.1353531869439,3
373,Seth McGowan,RB,IND,431.6666666666667,326,182.18366800810904,3
374,San Francisco 49ers,DST,,432.5,289.5,283.12938738322447,4
375,Xavier Weaver,WR,ARI,433,433,0,1
376,Carolina Panthers,DST,,434,434,0,1
377,Konata Mumpfield,WR,LAR,434.5,434.5,150.5,2
378,Lil'Jordan Humphrey,WR,DEN,440,440,0,1
379,Deshaun Watson,QB,CLE,440.75,288.5,274.4898677547133,4
380,Jahdae Walker,WR,CHI,442,442,99,2
381,Tahj Brooks,RB,CIN,442.3333333333333,342,188.20615174737395,3
382,Zavion Thomas,WR,CHI,442.5,442.5,101.5,2
383,Tyler Bass,K,,449.5,449.5,213.5,2
384,Tai Felton,WR,MIN,450,450,116,2
385,Chad Ryland,K,,452,452,0,1
386,Skyler Bell,WR,BUF,454,454,143,2
387,Fernando Mendoza,QB,LVR,462.2,250,471.6979542037468,5
388,Trey Smack,K,,463,287,334.2972728974418,3
389,Charlie Smyth,K,,463,463,251,2
390,Bo Melton,WR,GBP,463,463,0,1
391,Malachi Corley,WR,CLE,465,465,0,1
392,Arian Smith,WR,NYJ,466.5,466.5,137.5,2
393,Darius Cooper,WR,PHI,467,467,0,1
394,Gabriel Davis,WR,BUF,468,468,0,1
395,Darnell Washington,TE,PIT,472,472,134,2
396,Noah Fant,TE,NOS,473,473,138,2
397,JuJu Smith-Schuster,WR,NYG,479,479,0,1
398,David Sills,WR,TBB,480,480,0,1
399,Ben Skowronek,WR,PIT,481,481,0,1
400,Elijah Sarratt,WR,BAL,488.5,488.5,228.5,2
401,Bub Means,WR,NOS,490,490,0,1
402,Mitchell Tinsley,WR,CIN,493,493,0,1
403,Bryce Oliver,WR,TEN,494,494,0,1
404,Tua Tagovailoa,QB,ATL,496.2,264,469.8431227548191,5
405,Jake Bobo,WR,SEA,504,504,0,1
406,Colbie Young,WR,CIN,506,506,176,2
407,Raheem Mostert,RB,LVR,509,509,0,1
408,Josh Reynolds,WR,NYJ,510,510,0,1
409,New York Jets,DST,,514,514,216,2
410,Jaret Patterson,RB,LAC,515,515,0,1
411,Roschon Johnson,RB,CHI,518,518,0,1
412,Derius Davis,WR,LAC,520,520,0,1
413,Andrew Beck,RB,NYJ,524,524,0,1
414,Deion Burks,WR,IND,528.5,528.5,204.5,2
415,Mason Tipton,WR,NOS,529,529,0,1
416,Daniel Bellinger,TE,TEN,532,532,0,1
